¿Eres fan de los triples?;¿Cuántos años tienes?;Género;¿En qué distrito de Lima Metropolitana resides o pasas la mayor parte de tu tiempo?;¿Con qué frecuencia consumes triples durante la semana?;¿En qué momento disfrutas más de este tipo de snack? (Selecciona todas las que apliquen);¿Dónde compras tus triples actualmente?;¿Qué valoras más al elegir un triple?;¿Cuál de estas presentaciones de Triple X te parece más atractiva y deliciosa?;¿Qué tipo de cremas o salsas te gustaría que acompañen nuestros triples? (Selecciona todas las que apliquen);¿Tienes en mente alguna crema especial que no viste en la lista anterior y te encantaría que acompañe nuestros triples?;Si tuvieras la oportunidad de probar un nuevo triple fácil de llevar, con rellenos sabrosos y diferentes, ¿qué tanto te interesaría?;¿Qué tan dispuesto(a) estás a probar sabores nuevos en productos como los triples?;¿Con qué te gustaría acompañar tu triple al momento de comerlo? (Selecciona todas las que apliquen);Considerando un triple de buena calidad y tamaño, ¿Cuánto te parecería justo pagar?;¿Dónde te gustaría poder comprar este Triple X? (Selecciona todas las que apliquen);¿Con qué frecuencia utilizarías un servicio de delivery para pedir estos triples?;Si el producto cumple con tus expectativas, ¿qué tan probable sería que lo recomiendes a un amigo o familiar?;¿Tienes algún comentario, sugerencia o idea adicional que quieras compartir con nosotros sobre este nuevo producto?
Sí, me encantan;Menos de 18 años;Femenino;Miraflores;2 a 3 veces por semana;Como un snack rápido entre comidas (media mañana/tarde);Apps de delivery;Sabor delicioso;La golosito (pollito a la brasa con papitas);Tártara;¡Uf, necesito un respiro! Crema de pistacho, ¡sería lo más! 😩✨;Muy interesado;Me encanta innovar;Con gaseosa, jugo o agua;Entre S/ 14.00 y S/ 15.00;Tiendas de conveniencia (Tambo, Oxxo, etc.);A veces;Muy probable;¡Súper rico, pero necesito un maratón de series para relajarme! 😅
No, no son lo mío;18 - 24 años;Femenino;Miraflores;Una vez por semana o menos;Como un snack rápido entre comidas (media mañana/tarde);Tiendas de conveniencia (Tambo, Oxxo, etc.);Tamaño práctico y fácil de llevar;La picante (pollo deshilachado, con salsa BBQ);Ketchup;Uf, probablemente una de dulce de leche, pero no esperes mucho.;Interesado;A veces pruebo cosas nuevas;Con gaseosa, jugo o agua;Entre S/ 12.00 y S/ 13.00;Tiendas de conveniencia (Tambo, Oxxo, etc.);Rara vez;Neutro;Suena bien, pero dudo que realmente me facilite la vida.
Sí, me encantan;25 - 34 años;Femenino;Miraflores;2 a 3 veces por semana;Como un snack rápido entre comidas (media mañana/tarde);Kioscos o carretillas;Sabor delicioso;La insaciable (chorizo con chimichurri);Ají criollo;¡Definitivamente una crema de aguacate y cilantro, súper fresca!;Muy interesado;Me encanta innovar;Con gaseosa, jugo o agua;Entre S/ 14.00 y S/ 15.00;Supermercados;A veces;Muy probable;¡Me encanta la idea! ¿Podría tener opciones de especias más intensas?
Sí, me encantan;25 - 34 años;Femenino;San Borja;2 a 3 veces por semana;Como un snack rápido entre comidas (media mañana/tarde);Kioscos o carretillas;Sabor delicioso;La golosito (pollito a la brasa con papitas);Ají criollo;¡Definitivamente una crema de ají amarillo con queso fresco!;Muy interesado;Me encanta innovar;Con gaseosa, jugo o agua;Entre S/ 14.00 y S/ 15.00;Supermercados;A veces;Muy probable;¡Un anticucho delivery sería mi salvación entre serie y trabajo!
Sí, me encantan;Más de 45 años;Femenino;San Isidro;Una vez por semana o menos;Como un snack rápido entre comidas (media mañana/tarde);Supermercados;Ingredientes naturales/saludables;La picante (pollo deshilachado, con salsa BBQ);Tártara;¡Hummus de pimiento rojo asado, perfecto para maratonear series!;Muy interesado;A veces pruebo cosas nuevas;Con gaseosa, jugo o agua;Entre S/ 14.00 y S/ 15.00;Tiendas de conveniencia (Tambo, Oxxo, etc.);A veces;Muy probable;Perfecto para maratonear series, ¡un snack sofisticado y práctico!
Sí, me encantan;25 - 34 años;Femenino;Miraflores;Una vez por semana o menos;Como un snack rápido entre comidas (media mañana/tarde);Kioscos o carretillas;Ingredientes naturales/saludables;La insaciable (chorizo con chimichurri);Ají criollo;¡Una crema de aguacate y jalapeño, picante y refrescante!;Muy interesado;Me encanta innovar;Con gaseosa, jugo o agua;Entre S/ 14.00 y S/ 15.00;Supermercados;A veces;Muy probable;¡Me encanta la idea! Quizás explorar opciones veganas/sin gluten.
Sí, me encantan;Menos de 18 años;Femenino;Miraflores;2 a 3 veces por semana;Como un snack rápido entre comidas (media mañana/tarde);Kioscos o carretillas;Sabor delicioso;La picante (pollo deshilachado, con salsa BBQ);Ají criollo;¡Definitivamente, una crema de plátano con canela, súper trendy en TikTok! 🤩;Muy interesado;Me encanta innovar;Con gaseosa, jugo o agua;Entre S/ 12.00 y S/ 13.00;Tiendas de conveniencia (Tambo, Oxxo, etc.);Siempre;Muy probable;¡Súper adictivo! Ideal para maratonear series, ¡quiero más sabores!
No, no son lo mío;Menos de 18 años;Femenino;Miraflores;Una vez por semana o menos;Como un snack rápido entre comidas (media mañana/tarde);Supermercados;Ingredientes naturales/saludables;La golosito (pollito a la brasa con papitas);Ají criollo;¡Una crema de aguacate y espinaca, súper nutritiva y verde! 🥑✨;Muy interesado;Me encanta innovar;Con gaseosa, jugo o agua;Entre S/ 12.00 y S/ 13.00;Supermercados;Rara vez;Muy probable;¡Me encanta! Podrían hacer versiones mini para loncheras saludables. ✨
Sí, me encantan;25 - 34 años;Femenino;Miraflores;2 a 3 veces por semana;Como un snack rápido entre comidas (media mañana/tarde);Apps de delivery;Ingredientes naturales/saludables;La golosito (pollito a la brasa con papitas);Ají criollo;¡Mantequilla de almendras con sal marina, perfecta para viajar y entrenar!;Muy interesado;Me encanta innovar;Con gaseosa, jugo o agua;Entre S/ 12.00 y S/ 13.00;Tiendas de conveniencia (Tambo, Oxxo, etc.);A veces;Muy probable;¡Perfecto para mis entrenos y aventuras por el mundo!
Sí, me encantan;Menos de 18 años;Masculino;La Molina;4 a 6 veces por semana;Como un snack rápido entre comidas (media mañana/tarde);Apps de delivery;Ingredientes naturales/saludables;La picante (pollo deshilachado, con salsa BBQ);Ají criollo;¡Una de mango boba, para recargar energía y seguir jugando!;Muy interesado;Me encanta innovar;Con gaseosa, jugo o agua;Entre S/ 12.00 y S/ 13.00;Tiendas de conveniencia (Tambo, Oxxo, etc.);A veces;Muy probable;¡Súper! ¿Podría tener sabores de videojuegos para más motivación?
Sí, me encantan;25 - 34 años;Femenino;Miraflores;Una vez por semana o menos;Como un snack rápido entre comidas (media mañana/tarde);Supermercados;Ingredientes naturales/saludables;La insaciable (chorizo con chimichurri);Ají criollo;¡Una crema de aguacate y cilantro fresco de mi huerto! 🥑🌿;Muy interesado;Me encanta innovar;Con gaseosa, jugo o agua;Entre S/ 14.00 y S/ 15.00;Supermercados;A veces;Muy probable;¡Increíble! ¡Perfecto para usar mis hierbas frescas del jardín!
Sí, me encantan;Más de 45 años;Masculino;San Borja;Una vez por semana o menos;Como un snack rápido entre comidas (media mañana/tarde);Kioscos o carretillas;Sabor delicioso;La golosito (pollito a la brasa con papitas);Ají criollo;¡Uf, difícil! Tal vez una crema de ají amarillo con queso andino.;Interesado;Prefiero los sabores clásicos;Con gaseosa, jugo o agua;Entre S/ 14.00 y S/ 15.00;Supermercados;Rara vez;Muy probable;Mmm... interesante, pero ¿realmente captura la esencia de nuestra sazón?
Sí, me encantan;18 - 24 años;Femenino;Miraflores;2 a 3 veces por semana;Como un snack rápido entre comidas (media mañana/tarde);Kioscos o carretillas;Sabor delicioso;La golosito (pollito a la brasa con papitas);Ají criollo;¡Uf, una crema de ají amarillo con queso fresco, porfa! 😌;Muy interesado;Prefiero los sabores clásicos;Con gaseosa, jugo o agua;Entre S/ 12.00 y S/ 13.00;Kioscos o carretillas;Rara vez;Neutro;¡Suena rico, pero dudo que supere a la abuela! 😅
Sí, me encantan;35 - 44 años;Masculino;Miraflores;2 a 3 veces por semana;Como un snack rápido entre comidas (media mañana/tarde);Apps de delivery;Ingredientes naturales/saludables;La golosito (pollito a la brasa con papitas);Ají criollo;¡Mmm, una crema de pistacho y cardamomo sería ideal!;Muy interesado;Me encanta innovar;Con gaseosa, jugo o agua;Entre S/ 12.00 y S/ 13.00;Tiendas de conveniencia (Tambo, Oxxo, etc.);A veces;Muy probable;¡Perfecto para recargar energías y disfrutar de mi lectura post-entreno!
No, no son lo mío;Menos de 18 años;Masculino;Miraflores;Una vez por semana o menos;Como un snack rápido entre comidas (media mañana/tarde);Kioscos o carretillas;Sabor delicioso;La golosito (pollito a la brasa con papitas);Ají criollo;Mmm... ¿crema de lavanda con un toque de miel? ¡Suena bien!;Interesado;A veces pruebo cosas nuevas;Con gaseosa, jugo o agua;Entre S/ 12.00 y S/ 13.00;Tiendas de conveniencia (Tambo, Oxxo, etc.);Rara vez;Probable;Mmm... ¡suena interesante! ¿Quizás con un toque picante? 🌶️
No, no son lo mío;Menos de 18 años;Masculino;Los Olivos;Una vez por semana o menos;Como un snack rápido entre comidas (media mañana/tarde);Tiendas de conveniencia (Tambo, Oxxo, etc.);Sabor delicioso;La golosito (pollito a la brasa con papitas);Ketchup;Mmm... ¿una de plátano con canela? ¡Suena bien!;Interesado;A veces pruebo cosas nuevas;Con gaseosa, jugo o agua;Entre S/ 12.00 y S/ 13.00;Tiendas de conveniencia (Tambo, Oxxo, etc.);Rara vez;Neutro;Mmm... está rico, pero creo que necesita más sabor.
Sí, me encantan;35 - 44 años;Femenino;Barranco;Una vez por semana o menos;Como un snack rápido entre comidas (media mañana/tarde);Kioscos o carretillas;Sabor delicioso;La picante (pollo deshilachado, con salsa BBQ);Ají criollo;¡Una crema de aguacate y cilantro con un toque picante!;Muy interesado;Me encanta innovar;Con gaseosa, jugo o agua;Entre S/ 14.00 y S/ 15.00;Supermercados;A veces;Muy probable;¡Me encanta! Podría inspirar recetas y jams con amigos.
No, no son lo mío;18 - 24 años;Masculino;La Molina;2 a 3 veces por semana;Como un snack rápido entre comidas (media mañana/tarde);Apps de delivery;Tamaño práctico y fácil de llevar;La golosito (pollito a la brasa con papitas);Ketchup;Mmm, una crema de matcha con un toque de vainilla, ¡sería genial!;Muy interesado;A veces pruebo cosas nuevas;Con gaseosa, jugo o agua;Entre S/ 12.00 y S/ 13.00;Tiendas de conveniencia (Tambo, Oxxo, etc.);A veces;Muy probable;¡Suena bien para sesiones largas de juego, probaré!
Sí, me encantan;Más de 45 años;Femenino;Miraflores;Una vez por semana o menos;Como un snack rápido entre comidas (media mañana/tarde);Kioscos o carretillas;Ingredientes naturales/saludables;La insaciable (chorizo con chimichurri);Ají criollo;¡Una crema de aguacate y cilantro, fresca y relajante, por favor!;Muy interesado;A veces pruebo cosas nuevas;Con gaseosa, jugo o agua;Entre S/ 14.00 y S/ 15.00;Supermercados;Rara vez;Muy probable;Un respiro sabroso, perfecto para desconectar y soñar despierto.
No, no son lo mío;18 - 24 años;Femenino;San Borja;2 a 3 veces por semana;Como un snack rápido entre comidas (media mañana/tarde);Tiendas de conveniencia (Tambo, Oxxo, etc.);Ingredientes naturales/saludables;La picante (pollo deshilachado, con salsa BBQ);Ají criollo;Hummus de pimiento rojo picante, ¡perfecto para un respiro!;Muy interesado;A veces pruebo cosas nuevas;Con gaseosa, jugo o agua;Entre S/ 12.00 y S/ 13.00;Tiendas de conveniencia (Tambo, Oxxo, etc.);A veces;Muy probable;¡Perfecto para un respiro rápido entre trabajo y mis plantas!
Sí, me encantan;35 - 44 años;Femenino;Miraflores;Una vez por semana o menos;Como un snack rápido entre comidas (media mañana/tarde);Kioscos o carretillas;Ingredientes naturales/saludables;La picante (pollo deshilachado, con salsa BBQ);Tártara;¡Una crema de aguacate y cilantro, fresca y vibrante!;Muy interesado;Me encanta innovar;Con gaseosa, jugo o agua;Entre S/ 14.00 y S/ 15.00;Supermercados;A veces;Muy probable;¡Me encanta! ¡Un producto que inspire a cocinar en casa, genial!
Sí, me encantan;Menos de 18 años;Femenino;Pueblo Libre;Una vez por semana o menos;Como un snack rápido entre comidas (media mañana/tarde);Kioscos o carretillas;Ingredientes naturales/saludables;La golosito (pollito a la brasa con papitas);Ají criollo;¡Uff, una cremita de huacatay con un toque picante! 🌶️;Muy interesado;Me encanta innovar;Con gaseosa, jugo o agua;Entre S/ 14.00 y S/ 15.00;Kioscos o carretillas;Rara vez;Muy probable;¡Que tenga ají amarillo peruano de mi huerto, porfa! 🌶️
No, no son lo mío;Más de 45 años;Femenino;Miraflores;Una vez por semana o menos;Como un snack rápido entre comidas (media mañana/tarde);Kioscos o carretillas;Ingredientes naturales/saludables;La insaciable (chorizo con chimichurri);Ají criollo;¡Una crema de aguacate y cilantro, fresca y con un toque picante!;Muy interesado;A veces pruebo cosas nuevas;Con gaseosa, jugo o agua;Entre S/ 14.00 y S/ 15.00;Tiendas de conveniencia (Tambo, Oxxo, etc.);Rara vez;Muy probable;Un sabor interesante, pero quizás un toque menos dulce sería ideal.
No, no son lo mío;35 - 44 años;Femenino;San Borja;Una vez por semana o menos;Como un snack rápido entre comidas (media mañana/tarde);Supermercados;Tamaño práctico y fácil de llevar;La insaciable (chorizo con chimichurri);Mayonesa;Hummus casero, rápido, sano y disimula el sabor a prisas.;Interesado;Prefiero los sabores clásicos;Con gaseosa, jugo o agua;Entre S/ 12.00 y S/ 13.00;Supermercados;Rara vez;Neutro;Si simplifica cenas reales, lo consideraría, pero dudo mucho.
Sí, me encantan;25 - 34 años;Femenino;Miraflores;2 a 3 veces por semana;Como un snack rápido entre comidas (media mañana/tarde);Kioscos o carretillas;Sabor delicioso;La insaciable (chorizo con chimichurri);Ají criollo;¡Ají amarillo cremoso, por favor! Sería la combinación perfecta.;Muy interesado;Me encanta innovar;Con gaseosa, jugo o agua;Entre S/ 14.00 y S/ 15.00;Tiendas de conveniencia (Tambo, Oxxo, etc.);A veces;Muy probable;¡Sabor auténtico y divertido, perfecto para llevar en la mochila!
Sí, me encantan;Más de 45 años;Femenino;Miraflores;2 a 3 veces por semana;Como un snack rápido entre comidas (media mañana/tarde);Ferias o mercados locales;Ingredientes naturales/saludables;La insaciable (chorizo con chimichurri);Ají criollo;¡Una crema de aguacate y cilantro tostado, explosión de frescura!;Muy interesado;Me encanta innovar;Con gaseosa, jugo o agua;Entre S/ 14.00 y S/ 15.00;Supermercados;A veces;Muy probable;¡Combina genial con hierbas frescas de mi huerto, delicioso!
No, no son lo mío;Más de 45 años;Femenino;San Borja;Una vez por semana o menos;Como un snack rápido entre comidas (media mañana/tarde);Supermercados;Ingredientes naturales/saludables;La golosito (pollito a la brasa con papitas);Ají criollo;¡Una crema de aguacate y cilantro, fresca y vibrante!;Muy interesado;A veces pruebo cosas nuevas;Con gaseosa, jugo o agua;Entre S/ 12.00 y S/ 13.00;Supermercados;Rara vez;Muy probable;¡Me encanta! Quizás un taller de cocina con ingredientes de huerto.
Sí, me encantan;18 - 24 años;Masculino;Miraflores;2 a 3 veces por semana;Como un snack rápido entre comidas (media mañana/tarde);Apps de delivery;Innovación o formato novedoso;La picante (pollo deshilachado, con salsa BBQ);Ají criollo;¡Definitivamente una crema de wasabi y jengibre picante! 🌶️🎮;Muy interesado;Me encanta innovar;Con gaseosa, jugo o agua;Entre S/ 12.00 y S/ 13.00;Tiendas de conveniencia (Tambo, Oxxo, etc.);A veces;Muy probable;¡Combina sabores inesperados y haz ediciones limitadas temáticas de videojuegos!
Sí, me encantan;Más de 45 años;Femenino;Miraflores;Una vez por semana o menos;Como un snack rápido entre comidas (media mañana/tarde);Supermercados;Ingredientes naturales/saludables;La insaciable (chorizo con chimichurri);Tártara;¡Una crema de aguacate y cilantro, fresca como un sueño!;Muy interesado;Me encanta innovar;Con gaseosa, jugo o agua;Entre S/ 14.00 y S/ 15.00;Supermercados;Rara vez;Muy probable;¡Me encanta! Perfecto para esos domingos lentos con buena música.
Sí, me encantan;25 - 34 años;Femenino;Miraflores;2 a 3 veces por semana;Como un snack rápido entre comidas (media mañana/tarde);Tiendas de conveniencia (Tambo, Oxxo, etc.);Tamaño práctico y fácil de llevar;La golosito (pollito a la brasa con papitas);Tártara;¡Mmm, una crema de aguacate y cilantro, porfa! 🥑🌿;Muy interesado;A veces pruebo cosas nuevas;Con gaseosa, jugo o agua;Entre S/ 12.00 y S/ 13.00;Tiendas de conveniencia (Tambo, Oxxo, etc.);A veces;Muy probable;¡Me encanta la idea, pero necesito opciones rápidas y fáciles!
Sí, me encantan;Menos de 18 años;Femenino;San Borja;Una vez por semana o menos;Como un snack rápido entre comidas (media mañana/tarde);Tiendas de conveniencia (Tambo, Oxxo, etc.);Sabor delicioso;La golosito (pollito a la brasa con papitas);Ají criollo;¡Una crema de plátano y canela, suena súper divertida! 🍌✨;Muy interesado;Me encanta innovar;Con gaseosa, jugo o agua;Entre S/ 12.00 y S/ 13.00;Tiendas de conveniencia (Tambo, Oxxo, etc.);Rara vez;Muy probable;¡Suena genial! ¿Podríamos usarlo para hacer postres musicales? 🎵🍰
No, no son lo mío;Menos de 18 años;Femenino;San Borja;Una vez por semana o menos;Como un snack rápido entre comidas (media mañana/tarde);Supermercados;Ingredientes naturales/saludables;La golosito (pollito a la brasa con papitas);Ají criollo;¡Mmm, una crema de aguacate y espinaca sería genial! 🥑✨;Muy interesado;Me encanta innovar;Con gaseosa, jugo o agua;Entre S/ 12.00 y S/ 13.00;Supermercados;Rara vez;Muy probable;¡Me encanta que sea saludable y espero que tenga buen sabor! ✨
Sí, me encantan;Menos de 18 años;Masculino;San Isidro;4 a 6 veces por semana;En eventos o celebraciones pequeñas;Tiendas de conveniencia (Tambo, Oxxo, etc.);Sabor delicioso;La insaciable (chorizo con chimichurri);Mayonesa;Hmm... ¿una crema de aguacate y cilantro, quizás? Suena refrescante.;Poco interesado;A veces pruebo cosas nuevas;Con cerveza u otra bebida alcohólica;Menos de S/ 11.00;Kioscos o carretillas;Siempre;Poco probable;Me parece interesante, quizás fotos de usuarios lo impulsarían.
Sí, me encantan;Más de 45 años;Femenino;Jesús María;2 a 3 veces por semana;Para llevar (al trabajo, estudio, paseo);Directo en redes sociales;Otra…;La insaciable (chorizo con chimichurri);Ketchup;Hummus picante, siempre. La felicidad es efímera, pero el hummus no.;Poco interesado;A veces pruebo cosas nuevas;Con gaseosa, jugo o agua;Entre S/ 14.00 y S/ 15.00;Tiendas de conveniencia (Tambo, Oxxo, etc.);Nunca;Probable;Práctico, pero dudo que cambie mi vida. Suena bien.
Sí, me encantan;35 - 44 años;Masculino;San Borja;Todos los días;En reuniones con amigos o familiares;Directo en redes sociales;Tamaño práctico y fácil de llevar;La insaciable (chorizo con chimichurri);Tártara;¡Uf, difícil! ¿Una de ají amarillo con queso andino, quizás?;Interesado;Prefiero los sabores clásicos;Con gaseosa, jugo o agua;Menos de S/ 11.00;Supermercados;A veces;Nada probable;¡Riquísimo, pero necesito probar más sabores para decidirme! 🎶
No, no son lo mío;35 - 44 años;Femenino;Surquillo;Rara vez o nunca;Para llevar (al trabajo, estudio, paseo);Directo en redes sociales;Innovación o formato novedoso;La picante (pollo deshilachado, con salsa BBQ);Ketchup;¡Definitivamente una crema de aguacate y jalapeño, picantita y fresca! 🥑🌶️;Interesado;Me encanta innovar;Con papas (fritas, nativas o al hilo);Menos de S/ 11.00;Tiendas de conveniencia (Tambo, Oxxo, etc.);Nunca;Muy probable;¡Me encanta! Necesito esto para sobrevivir a la universidad y series.
Sí, me encantan;18 - 24 años;Femenino;Villa El Salvador;Rara vez o nunca;Como un snack rápido entre comidas (media mañana/tarde);Supermercados;Ingredientes naturales/saludables;La insaciable (chorizo con chimichurri);Mayonesa;Crema de aguacate y cilantro, ¡un respiro fresco y sabroso!;Muy interesado;Me encanta innovar;Con papas (fritas, nativas o al hilo);Entre S/ 16.00 y S/ 20.00;Apps de delivery;Siempre;Muy probable;Facilidad y rapidez, ¡por favor! Necesito un respiro, aunque sea pequeño.
No, no son lo mío;35 - 44 años;Femenino;Jesús María;Todos los días;Como almuerzo o cena ligera;Ferias o mercados locales;Otra…;La picante (pollo deshilachado, con salsa BBQ);Mayonesa;¡Crema de lavanda y miel, un sueño floral y dulce! 💜🍯;Muy interesado;A veces pruebo cosas nuevas;Con cerveza u otra bebida alcohólica;Entre S/ 12.00 y S/ 13.00;Tiendas de conveniencia (Tambo, Oxxo, etc.);Rara vez;Poco probable;¡Colores vibrantes, sabores inesperados, fotos increíbles! ¡Quiero probarlo YA!
Sí, me encantan;25 - 34 años;Masculino;Punta Negra;Una vez por semana o menos;Para el desayuno o lonche;Apps de delivery;Tamaño práctico y fácil de llevar;La picante (pollo deshilachado, con salsa BBQ);Ketchup;¡Absolutamente! Crema de pistacho salado, ¡sería celestial con el triple! ✨;Interesado;A veces pruebo cosas nuevas;Con cerveza u otra bebida alcohólica;Entre S/ 14.00 y S/ 15.00;Tiendas de conveniencia (Tambo, Oxxo, etc.);Nunca;Muy probable;¡Increíble! Combina sofisticación y sabor, perfecto para maridar con una serie.
No, no son lo mío;18 - 24 años;Femenino;San Juan de Lurigancho;Rara vez o nunca;Como un snack rápido entre comidas (media mañana/tarde);Ferias o mercados locales;Ingredientes naturales/saludables;La picante (pollo deshilachado, con salsa BBQ);Ají criollo;Mantequilla de almendras con sal marina y un toque de miel.;Nada interesado;Prefiero los sabores clásicos;Con papas (fritas, nativas o al hilo);Más de S/ 20.00;Apps de delivery;Rara vez;Probable;Práctico, efectivo, rápido. Ideal para mi ritmo de vida activo.
